,Price,Price,Price,Price,Price,Median Transaction Fees (Native Units),Deposits on Exchanges,New Issuance (Native Units),Annual Issuance Rate,Realized Marketcap,Deposits on Exchanges - Inclusive,Circulating Supply,Deposits on Exchanges (Native Units),Total Issuance,Block Size (bytes),Sharpe Ratio,Sharpe Ratio,Sharpe Ratio,Sharpe Ratio,Supply on Exchanges,Outstanding Marketcap,Withdrawals from Exchanges,Adjusted Transaction Volume (Native Units),Miner Revenue,Supply on Exchanges (Native Units),Outstanding Supply,New Issuance,Transactions Count,Median Transaction Fees,Total Issuance (Native Units),Withdrawals from Exchanges - Inclusive (Native Units),Deposits on Exchanges - Inclusive (Native Units),Withdrawals from Exchanges (Native Units),Transactions Transfer Count,Withdrawals from Exchanges - Inclusive,Hash Rate,Median Transfer Value (Native Units),Total Fees (Native Units),Average Transaction Fees,Average Block Size (bytes),Miner Revenue (Native Units),Transaction Volume (Native Units),Volatility,Volatility,Volatility,Volatility,Adjusted NVT,Transaction Volume,Median Transfer Value,Real Volume,Adjusted Transaction Volume,Average Transfer Value,Average Difficulty,Circulating Marketcap,Marketcap Dominance,Total Fees,Average Transaction Fees (Native Units),Adjusted NVT 90-days MA,Block Count,Average Transfer Value (Native Units),Active Addresses Count
,open,high,low,close,volume,transaction_fee_median,flow_in_usd,issuance_native,issuance_rate,marketcap_realized,flow_in_usd,circulating_supply,flow_in,issuance_total_usd,block_count,sharpe_30d,sharpe_90d,sharpe_1yr,sharpe_3yr,supply_usd,marketcap_oustanding,flow_out_usd,transaction_volume_adjusted,revenue_usd,supply_usd,supply_outstanding,issuance_usd,transaction_count,transaction_fee_median_usd,issuance_total,flow_out,flow_in,flow_out,transfers_count,flow_out_usd,hash_rate,transfer_value_median,fees_total,transaction_fee_avg,block_count,revenue_native,transaction_volume,volatility_30d,volatility_90d,volatility_1yr,volatility_3yr,nvt_adjusted,transaction_volume_usd,transfer_value_median_usd,volume,adjusted_transfer_value_usd,average_transfer_value_usd,mean_difficulty,circulating_marketcap,marketcap_dominance,fees_total_usd,transaction_fee_avg_ntv,nvt_adjusted_90d_ma,block_count,transfer_value_avg,active_addresses
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,430.2066200853425,437.84134416331693,426.0687658903148,433.96034495682517,20996464.106019706,0.0001,13089371.30680913,3375.0,8.19453423009042,4531461839.695694,13988447.538379552,15035613.92178243,30112.79869976,1467038.2716978379,66544854,3.254284054210906,3.685772048814432,0.8691962940246035,1.6048639931009432,209056382.1869955,6534464975.488938,13071589.71425727,174515.81844861,0,480945.38737871,15032886.13374194,1467038.2716978379,124427,0.0434678006428989,3375.0,32140.26414771,32181.17165232,30071.89119515,320580,13970665.945827693,697129.166405806,0.01170076,19.87269548,0.06942402897776837,492924.844444444,3394.87269548,871004.98686807,0.6403083932784513,0.677785118164049,0.6857570479061219,1.0289784847453567,86.14053595,378606711.2815204,5.086063030504057,20996464.106019706,75858188.05356517,1181.005400466404,103880340815.456,6468190926.64079,94.14222319378716,8638.22365361678,0.000159713691401384,41.14725609323255,135,2.71696608293739,316781
2016-01-02,434.0154559174964,436.8208667164506,431.5424006372797,433.2213429957593,13932252.996086974,0.0001,10665077.355311446,3625.0,8.79941489240087,4533731401.8491535,11414710.398564426,15039239.56858238,24549.02948242,1574844.5550847442,83567789,3.7425491740847483,3.635713126531979,0.9034313022363549,1.6092911074220515,209176668.44593188,6532460051.432983,10430263.973237358,189629.97273045,0,481485.88422157,15036511.1337419,1574844.5550847442,147864,0.0434439877264757,3625.0,25734.0488329,26274.54567576,24008.53263956,405602,11179897.016490338,748768.363917347,0.0069,31.23552519,0.09177323574260007,576329.579310345,3656.23552519,716197.89736015,0.63158832477908,0.6780046004787429,0.6852513287583847,1.0289218184321847,79.29395821,311144926.6264206,2.9976351531268235,13932252.996086974,82382822.07873592,767.1188175265924,103880340815.456,6527223073.571715,94.13150855403721,13569.957729843825,0.000211244962871287,41.048731274727466,145,1.76576520174987,417966
2016-01-03,433.2120629659011,433.7274093399198,422.75746949879033,429.13286698831445,23969482.412609983,0.0001,15526700.13041492,3625.0,8.79729404198428,4537363053.76604,16981438.874073,15042864.95680087,36097.17306271,1559243.6525423727,82041255,3.4637301381357295,3.592288983117363,0.8856297115430888,1.6127912139416067,210329062.2085412,6469306703.42351,12302136.890490191,232482.19349984,0,488982.49434127,15040136.13374189,1559243.6525423727,145029,0.0430136180011689,3625.0,31982.60521534,39479.21533504,28600.56294301,432531,13756875.63414827,748768.363917347,0.00512564,24.47306235,0.07258375602408396,565801.75862069,3649.47306235,798401.86366102,0.6338460062658219,0.6785198228866133,0.6853393252771265,1.0288566288515157,64.69371227,343421527.7493645,2.2047232097151137,23969482.412609983,99999002.6327595,793.9813048067394,103880340815.456,6516692419.2124605,94.11666163070241,10526.749552416888,0.000168745991146598,40.64418400776148,145,1.84588356363132,398443
2016-01-04,429.40148006447146,435.23133663478677,428.2336682614958,433.152290944346,25285944.282137163,0.0001,18007223.34835747,4525.0,10.9781469008682,4541543825.9290285,19885281.923777856,15047390.35911501,41544.0445133,1961356.5940897136,99672880,3.5204985052640536,3.59640442759461,1.0755608285503255,1.6129067798705208,211191557.97448972,6521092888.510424,18764624.41711328,258630.29750686,0,487235.11202107,15044661.13374178,1961356.5940897136,178576,0.043344897106955,4525.0,47624.25191966,45876.86959946,43291.4268335,419538,20642682.99253367,934669.474958895,0.01740535,30.38263286,0.07374630942316376,550678.895027624,4555.38263286,923789.20246891,0.633925967761637,0.678528010789751,0.6759557208695836,1.028857126368859,58.17052866,400415479.29530925,7.544331048605392,25285944.282137163,112103036.34176007,954.4200508542956,103880340815.456,6459280030.67403,94.08051542828835,13169.320951550899,0.000170138388473255,40.918827454970405,181,2.20192021335114,413159
2016-01-05,432.97869736294814,434.54844180352814,428.3860816425433,432.0013906153679,19564496.077910855,0.0001,20881507.66900932,3925.0,9.519997342394,4545016222.711579,22229688.800610285,15051315.70559461,48262.02804237,1698227.7978229108,100644706,2.3121403015811897,3.4428952069693284,1.1573869808863868,1.6098338027793624,203856854.49843884,6511064277.770981,27836426.75261915,335747.81933585,0,471160.67404628,15048586.13374084,1698227.7978229108,183659,0.0432669502630041,3925.0,67452.426637,51377.98866221,64336.46601716,438135,29184607.88422012,810735.400931196,0.0196203,32.51125761,0.07659101737456821,641049.082802548,3957.51125761,1258329.08759495,0.5926407995101199,0.6778222773768647,0.6735624515617362,1.028863447618733,44.82109866,544440620.4746203,8.489105442452193,19564496.077910855,145267842.0011631,1242.6321121905833,103880340815.456,6516854526.215142,94.1311217015365,14066.629659995835,0.000177019681093766,40.754906278675676,157,2.872012251007,435291
2016-01-06,432.0129367275219,432.02357022214835,424.0768515012975,428.697809910457,21038323.48524887,0.0001,17903052.543451957,3525.0,8.54780428186167,4547837782.6253605,20044487.66988238,15054841.00053216,41569.47408814,1518139.4905756887,94324428,2.1857400258607407,3.4776908115896843,1.0881656524175394,1.608122242248973,198601529.73874375,6482611157.065961,22219998.17376283,324639.54934984,0,461137.06722931,15052111.13373527,1518139.4905756887,171808,0.0430677869666862,3525.0,56565.32414595,46541.71732898,51593.08090511,377133,24361433.300193258,728112.684912731,0.02724038,30.82358132,0.07726668338145416,668967.574468085,3555.82358132,1225876.46086523,0.5936608318059726,0.6772813853355996,0.672558373218315,1.0288797767973383,46.36561123,527957862.6401896,11.731828827315795,21038323.48524887,139815069.5235992,1399.9248610972518,103880340815.456,6503890623.094496,94.11807769276643,13275.034338400883,0.000179407136571056,40.46377206766049,141,3.2505149665111,381359
2016-01-07,428.5744686009672,460.25913655357374,427.60799704886585,458.36475426059025,60138161.91879916,0.0001,39259940.696624614,3675.0,8.90936539669906,4567600690.163317,41604529.25896703,15058516.52966789,85494.72205099,1687592.8548436603,104578225,3.036819974248396,3.847170233444898,1.1150108820308107,1.6288841514737624,213974607.04666892,6913751592.74705,37043597.53015819,438019.77626989,0,465963.50455001,15055786.13373498,1687592.8548436603,191087,0.0459208940093513,3675.0,85773.99665712,90600.43397782,80668.28473029,459852,39388186.092500605,759096.203419655,0.017557165,36.78648695,0.08840310268136148,711416.496598639,3711.78648695,1418275.13886997,0.6329448409301041,0.6884871971551682,0.6742604621781708,1.0295604718460334,34.37238899,651284623.2814589,8.062407130696924,60138161.91879916,201142597.20089388,1416.291814065087,103880340815.456,6453717704.162745,94.07567416354247,16892.683682073348,0.000192511719530894,42.86155659406028,147,3.08419913117692,432867
2016-01-08,458.18060220622914,464.6779817373128,447.46170632095794,454.5571307718267,36804027.687277675,0.0001,30320473.86923962,4325.0,10.4821603637699,4573841558.500272,31879640.806235664,15062841.92609883,66765.41632824,1964131.3826271205,99072137,1.889252041314608,3.7643418896639407,1.0551120706090087,1.6245767412641772,213205540.83111215,6839314891.010367,28725000.65560488,381045.57848474,0,469476.72250987,15060111.1337344,1964131.3826271205,179603,0.0454134423728814,4325.0,66685.47022695,70198.68818681,63252.19836838,411240,30284167.592600923,893358.116949662,0.018392635,32.18645653,0.08138493170004982,572671.312138728,4357.18645653,1030651.81952857,0.6068926424209058,0.689143683779711,0.6736057882263198,1.0295856221914657,39.52312265,468054470.12666076,8.352728696579415,36804027.687277675,173045914.19957995,1138.1540466069957,103880340815.456,6901496125.010524,94.34709731646,14616.977888124073,0.000179208902579578,42.133818701592595,173,2.50620518317423,405522
